filmName,filmYear,mainCharacter,mainPlanet,filmSummary,filmRating
Star Wars: Episode IV - A New Hope,1977,Obi-Wan Kenobi,Alderaan,"The plot follows the life of a simple farm boy, Luke Skywalker, as he and his newly met allies  attempt to rescue a Rebel leader, Princess Leia, from the clutches of the Empire.",88%
Star Wars: Episode V - The Empire Strikes Back,1980,Hans Solo ,Bespin,"Fleeing the evil Galactic Empire, the Rebels abandon their new base in an assault with the Imperial AT-AT walkers on the ice world of Hoth. ",89%
Star Wars: Episode VI - Return of the Jedi,1983,Luke & Leia Skywalker,Endor,"Darth Vader and the Empire are building a new, indestructible Death Star. ",89%
